mode,case_count,pass_count,mean_ttft_s,mean_output_tok_s,decode_prepare_s,saved_prefill_tokens,mean_hit_rate,graph_replay,graph_eager
prefix_off,12,12,1.0818322326970427,50.65584990141004,1.4710121359676123,0,0.0,679,0
phase1_prefix_on,12,12,0.698101299854147,64.82962520906571,1.443583546206355,183040,0.1301533781712284,679,0
route_b_graph_baseline,12,12,0.7909075877086873,52.598061927766786,7.3986919689923525,165376,0.1073852507712318,679,0
route_b_metadata_deforest,12,12,0.7733368455623609,47.466167924095146,13.264522472396493,165376,0.1073852507712318,679,0
