variant_group,scenario,decode_prepare_s_mean,decode_forward_s_mean,decode_prepare_forward_share,prefill_forward_s_mean,prefill_prepare_s_mean
promoted_prefix,decode_ladder_bs16,0.15765043596426645,1.3664720027397077,0.10343685780147904,1.3515612185001373,0.09770621607700984
promoted_prefix,historical_4096_1024_bs4,2.2244739265491567,22.297711692750454,0.09071271056681167,4.299821731944879,0.7324894821892182
promoted_prefix,historical_4096_128_bs4,0.2814439069479704,2.768439224610726,0.0922802267522079,4.299842802186807,0.7266364209353924
promoted_prefix,prefix_eviction_pressure_96req_wave16,0.14635865949094296,0.17139489452044168,0.4606043194270587,10.817772491524616,2.2478310987353325
promoted_prefix,prefix_multi_112req_wave16,0.27790257210532826,1.474988021577398,0.15853959916658023,4.540031540518005,0.8640080795933803
promoted_prefix,serving_mixed_112req_wave16,1.091879177838564,9.762444363286098,0.10059394062667029,4.783209844181935,0.6850027094284693
target07_control,decode_ladder_bs16,0.1295219138264656,1.329728877171874,0.08875918699201375,1.3874144926667213,0.07121919964750607
target07_control,historical_4096_1024_bs4,1.979318148146073,22.049778717880447,0.08237172454635726,4.295542877788345,0.7034049574285746
target07_control,historical_4096_128_bs4,0.2524587331960599,2.725789754341046,0.08476751830900225,4.291288863246639,0.7183606966088215
target07_control,prefix_eviction_pressure_96req_wave16,0.017501364772518475,0.14532775369783243,0.10748301616399923,10.49949101296564,2.0153771272550025
target07_control,prefix_multi_112req_wave16,0.13241369587679705,1.1798767000436783,0.10090273943056527,13.525442141418656,2.580106091996034
target07_control,serving_mixed_112req_wave16,0.9129527093221744,9.255212110156814,0.08978539643390179,4.766458126405875,0.5424074089775482
