run,mode,status,output_tok_s,decode_tok_s,ttft_s,decode_prepare_s,decode_forward_s,elapsed_s,replay,eager,saved_prefill
throughput_r01_phase1_prefix_on,phase1 prefix on,pass,168.81219804777479,269.2976693937263,0.782306006444352,0.9381638616323471,9.981519728899002,16.586479131132364,441,0,0
throughput_r02_phase1_prefix_on,phase1 prefix on,pass,169.94812382568833,269.9635118458499,0.7654924994068486,0.9450384639203548,9.956901144236326,16.47561583481729,441,0,0
throughput_r03_phase1_prefix_on,phase1 prefix on,pass,170.4539944594815,269.10091177038464,0.7594896632113627,0.9377106986939907,9.988817883655429,16.426719766110182,441,0,0
throughput_r01_route_b_graph_baseline,Route B graph baseline,pass,135.79679544693045,265.3423734761626,0.7958682070353201,4.469862600788474,10.130308117717505,20.61904326081276,441,0,0
throughput_r02_route_b_graph_baseline,Route B graph baseline,pass,136.68582420332172,268.0982697636121,0.797275814360806,4.482611117884517,10.026174366474152,20.48493335954845,441,0,0
throughput_r03_route_b_graph_baseline,Route B graph baseline,pass,136.22934753086332,265.8056400152517,0.7952103002795151,4.486948264762759,10.11265223659575,20.5535741802305,441,0,0
throughput_r01_route_b_direct_c4,Route B direct C4,pass,137.3948231843673,264.9514438699022,0.7956482161368642,4.2699930146336555,10.145255148410797,20.379224887117743,441,0,0
throughput_r02_route_b_direct_c4,Route B direct C4,pass,138.8002091214176,267.584817354374,0.8008893294525998,4.1401832941919565,10.045412989333272,20.17288026958704,441,0,0
throughput_r03_route_b_direct_c4,Route B direct C4,pass,138.18932838564194,263.56620118662227,0.7967558064098869,4.209971578791738,10.19857625104487,20.26205664873123,441,0,0
throughput_r01_route_b_direct_full,Route B direct SWA+C4+C128,pass,141.36318524517114,269.89739141779063,0.7985234388283321,3.865980973467231,9.95934042148292,19.807137163355947,441,0,0
throughput_r02_route_b_direct_full,Route B direct SWA+C4+C128,pass,142.7216419805409,272.4275728628479,0.7953956034034491,3.857642836868763,9.866842668503523,19.618608370423317,441,0,0
throughput_r03_route_b_direct_full,Route B direct SWA+C4+C128,pass,140.26859865191,264.4888623178283,0.8015994448214769,3.895631404593587,10.162998836487532,19.961702240630984,441,0,0
