mode,profile_output_tok_s,decode_prepare_s,decode_forward_s,host_attention_metadata_ms,make_component_page_tables_ms,make_full_page_table_ms,make_swa_indices_ms,make_c4_sparse_indices_ms,make_c128_indices_ms,make_write_locs_ms,replay_fused_copy_ms,replay_component_page_tables_ms,replay_write_locs_ms,direct_index_buffers_ms,metadata_build_bytes,replay_copy_bytes,direct_graph_bytes
phase1 prefix on,123.11685807280983,1.9935063365846872,15.047917222604156,1814.1542691737413,5.549471998587251,70.07311987876892,90.1665277928114,584.1073245406151,326.89663928747177,180.235231757164,16.73558396473527,0,0.0,0.0,19976768,19976768,0
Route B graph baseline,102.22084214780043,4.780536651611328,14.625102264806628,4591.591753065586,3350.0037426948547,69.48825596272945,84.50137627124786,691.7250239253044,420.17296129465103,245.8264963030815,17.62406401708722,104.0866879671812,82.4352317750454,0.0,20039936,20039936,0
Route B direct C4,101.98088752112511,4.494089903309941,14.869722547009587,4304.636497050524,3341.169248819351,69.84361594170332,83.85878396034241,409.54310607910156,421.90358543395996,245.37350353598595,17.347072016447783,103.29814401268959,71.99727983772755,71.1383361518383,3557120,3524864,16515072
Route B direct SWA+C4+C128,103.55508084863811,4.104838972911239,14.494386164471507,3914.820907637477,3351.576097369194,69.51980790495872,1.5669440031051636,423.05929946899414,112.04470634460449,248.23731195926666,16.81734398752451,104.62959998846054,70.10912005603313,66.91846399754286,159488,84224,19955712
