mode,decode_forward_s,attention,indexer/compressor,MoE/shared experts,communication,other owner
phase1 prefix on,15.047917222604156,636.7225652369671,119.40236800443381,347.2493760222569,4909.503362368792,0.0
Route B graph baseline,14.625102264806628,1142.9150261185132,112.98003214597702,1126.5049904277548,5948.24259522371,0.0
Route B direct C4,14.869722547009587,655.7332833660766,112.51270421268418,2122.063783559948,6263.785800030455,0.0
Route B direct SWA+C4+C128,14.494386164471507,1490.7816550680436,114.8327679336071,1070.4745543920435,6607.603040788323,0.0
