mode,runs,output_tok_s_mean,output_tok_s_stdev,decode_tok_s_mean,decode_prepare_s_mean,decode_forward_s_mean,ttft_s_mean,replay,eager,saved_prefill
phase1 prefix on,3,169.73810544431487,0.8408059554732593,269.45403100332027,0.9403043414155642,9.975746252263585,0.7690960563541878,441,0,0
Route B graph baseline,3,136.23732239370517,0.4445680276972933,266.41542775167545,4.479807327811916,10.089711573595801,0.7961181072252138,441,0,0
Route B direct C4,3,138.12812023047562,0.7046894611875678,265.3674874702995,4.206715962539117,10.129748129596313,0.7977644506664503,441,0,0
Route B direct SWA+C4+C128,3,141.45114195920735,1.2288847304337343,268.937942199489,3.8730850716431937,9.996393975491324,0.7985061623510861,441,0,0
