group,scenario,runs,all_pass,output_tok_s_mean,output_tok_s_stdev,decode_tok_s_mean,decode_prepare_s_mean,decode_forward_s_mean,elapsed_s_mean,replay,eager,hit_requests,saved_prefill_tokens,evictions,evicted_tokens
serving_mixed,serving_mixed_112req_wave16,3,True,163.72195753619525,1.2721307878044945,271.7582226259083,1.1358899287879467,9.892713996892175,17.10285268413524,441,0,0,0,0,0
prefix_multi,prefix_multi_112req_wave16,3,True,105.41626233647855,7.6928160650276975,409.1130549560253,0.28682340309023857,1.9163544066250324,8.531256388872862,49,0,96,49152,0,0
prefix_eviction,prefix_eviction_pressure_96req_wave16,2,True,13.026029571683832,0.08726360743576884,500.9183103520761,0.15370401553809643,0.19166454020887613,14.740048563107848,6,0,0,0,3,20480
decode_ladder,decode_ladder_bs16,1,True,98.31164331923611,0.0,228.76586040260906,0.1638905368745327,1.67857214063406,4.06869406811893,63,0,0,0,0,0
