run,scenario,dirty_rows,clean_rows,component_table_ms,replay,eager
profile_prefix_eviction_lifetime,prefix_eviction_pressure_96req_wave16,96,0,276.7634525299072,6,0
profile_prefix_multi_lifetime,prefix_multi_112req_wave16,112,672,331.4082864522934,49,0
profile_serving_mixed_lifetime,serving_mixed_112req_wave16,112,2576,352.83485051989555,441,0
