Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
98.7,126246523472,549808,229619.3,88894.0,991,69231893,394538.2,[CUDA memcpy Host-to-Device]
1.2,1586896950,662352,2395.9,2304.0,1376,149950,967.4,[CUDA memcpy Device-to-Device]
0.1,120591726,55224,2183.7,2176.0,1056,24032,161.1,[CUDA memcpy Device-to-Host]
0.0,3186003,1752,1818.5,1792.0,992,4320,487.6,[CUDA memset]
