mode,scenario,status,requests,ttft_s,tpot_s,prefill_tok_s,decode_tok_s,output_tok_s,hit_rate,saved_prefill_tokens,graph_replay,graph_eager
prefix_off,decode_ladder_bs16,pass,16,1.4808291960507631,0.026996942683629455,1443.9014976954486,289.17601367358486,134.9971926782135,0.0,0,63,0
phase1_prefix_on,decode_ladder_bs16,pass,16,1.4319995734840631,0.027013827897011403,1503.0797097802638,288.1879963585375,136.89014052936486,0.0,0,63,0
route_b_graph,decode_ladder_bs16,pass,16,1.4234584383666515,0.045982664877985156,1542.9784586402943,281.84125665781556,115.15462286074884,0.0,0,63,0
prefix_off,serving_mixed_112req_wave16,pass,112,0.6345908788165876,0.026704224680412513,4453.284980221144,290.17112265812403,189.48929729613928,0.0,0,441,0
phase1_prefix_on,serving_mixed_112req_wave16,pass,112,0.6360463175390448,0.030828906035611676,4440.081636358257,270.1928548100942,180.74098153942296,0.0,0,441,0
route_b_graph,serving_mixed_112req_wave16,pass,112,0.6705938769238335,0.04710186424846182,4447.964663605174,263.68405574828347,142.20976743164016,0.0,0,441,0
prefix_off,prefix_full_hit_257_bs4,pass,4,0.28887383872643113,0.022958561157186825,1965.550433728396,103.50497162624764,23.008824698785137,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_257_bs4,pass,4,0.21737247612327337,0.02297348684320847,569.3108275947772,103.70702090367952,26.454178370278825,0.75,768,6,0
route_b_graph,prefix_full_hit_257_bs4,pass,4,0.22749682841822505,0.030537175945937634,573.3306273550915,100.2286279317447,24.408014316310144,0.75,768,6,0
prefix_off,prefix_full_hit_512_bs4,pass,4,0.4226840352639556,0.024971078615635633,3093.818831098612,96.63878584339984,17.94835728519455,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_512_bs4,pass,4,0.31153238844126463,0.023267687608798344,2382.255773365602,103.0226070660502,21.800306222782115,0.75,768,6,0
route_b_graph,prefix_full_hit_512_bs4,pass,4,0.4433561684563756,0.03087001759558916,3094.5582811065888,98.82015345195575,16.777931519794404,0.0,0,6,0
prefix_off,prefix_full_hit_513_bs4,pass,4,0.4235269785858691,0.02297662648682793,3068.2014202024743,103.3457578685661,18.050252428293312,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_513_bs4,pass,4,0.20570897730067372,0.022976377047598362,1192.0965878089019,103.42301637719346,27.059868445951516,0.75,1536,6,0
route_b_graph,prefix_full_hit_513_bs4,pass,4,0.21466708136722445,0.03294211408744256,1209.707979163192,92.7368312516965,24.55374898455254,0.75,1536,6,0
prefix_off,prefix_full_hit_768_bs4,pass,4,0.6020287438295782,0.023180473130196333,3477.3469412387462,103.27020384515285,13.973872375232101,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_768_bs4,pass,4,0.3120779995806515,0.02368513246377309,2806.1738269069424,101.66996527524073,21.205276123198892,0.75,1536,6,0
route_b_graph,prefix_full_hit_768_bs4,pass,4,0.6242419192567468,0.030573983987172444,3461.8733300500057,101.27320278702832,13.120225832117521,0.0,0,6,0
prefix_off,prefix_full_hit_769_bs4,pass,4,0.8784575038589537,0.02293084173773726,2453.9055531880053,103.82641811891399,10.571622467326259,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_769_bs4,pass,4,0.21712800627574325,0.02289531162629525,1657.6131369059558,104.03764988520003,25.21936986954584,0.75,2304,6,0
route_b_graph,prefix_full_hit_769_bs4,pass,4,0.22616277216002345,0.030158448809136946,1677.141267301605,101.70952948584474,23.30828930020708,0.75,2304,6,0
prefix_off,prefix_full_hit_513_longout_bs4,pass,4,0.40833314415067434,0.022318775405085853,3230.093684766809,103.50153716714124,62.62660863301178,0.0,0,62,0
