mode,runs,output_tok_s_mean,output_tok_s_stdev,decode_tok_s_mean,decode_prepare_s_mean,decode_forward_s_mean,replay,eager,source
phase1 prefix on,3,169.73810544431487,0.8408059554732593,269.45403100332027,0.9403043414155642,9.975746252263585,441,0,08.26 frozen baseline
Route B graph baseline,3,136.23732239370517,0.4445680276972933,266.41542775167545,4.479807327811916,10.089711573595801,441,0,08.26 frozen baseline
Route B direct C4,3,138.12812023047562,0.7046894611875678,265.3674874702995,4.206715962539117,10.129748129596313,441,0,08.26 frozen baseline
Route B direct C4 + lifetime cache,3,162.47257961845625,0.5951662401030103,268.5945577208527,1.1415871760497491,10.007659922043482,441,0,08.27 current opt-in
