run,status,output_tok_s,decode_tok_s,decode_prepare_s,decode_forward_s,elapsed_s,replay,eager,saved_prefill
throughput_r01_route_b_lifetime,pass,162.8793316998897,268.8803017041656,1.137982815504074,9.997013477608562,17.190640278160572,441,0,0
throughput_r02_route_b_lifetime,pass,162.7489299701191,268.6947842019785,1.1275363489985466,10.003915810957551,17.204414188861847,441,0,0
throughput_r03_route_b_lifetime,pass,161.78947718535994,268.20858725641403,1.1592423636466265,10.022050477564335,17.306440744549036,441,0,0
