mode,profile_output_tok_s,decode_prepare_s,decode_forward_s,host_attention_metadata_ms,make_component_page_tables_ms,make_full_page_table_ms,make_swa_indices_ms,make_c4_sparse_indices_ms,make_c128_indices_ms,make_write_locs_ms,replay_fused_copy_ms,replay_component_page_tables_ms,replay_write_locs_ms,direct_index_buffers_ms,source
Route B direct C4,101.98088752112511,4.494089903309941,14.869722547009587,4304.636497050524,3341.169248819351,69.84361594170332,83.85878396034241,409.54310607910156,421.90358543395996,245.37350353598595,17.347072016447783,103.29814401268959,71.99727983772755,71.1383361518383,08.26 Route B direct C4 profile
Route B direct C4 + lifetime cache,117.9047251574618,1.5189345050603151,14.361677488312125,1330.1929403096437,354.41206499934196,69.8970241099596,85.0729918628931,410.36205291748047,429.77833491563797,251.0355843603611,16.8248319812119,103.09574407339096,70.58780780434608,66.39692832529545,08.27 current opt-in profile
